"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 21","1,292.53","1,277.80","1,308.86","1,270.78","-","1.15%"
"Jul 21","1,277.80","1,374.57","1,374.60","1,243.17","-","-7.04%"
"Jun 21","1,374.64","1,377.58","1,395.02","1,344.03","-","-0.11%"
"May 21","1,376.21","1,346.51","1,377.25","1,290.43","-","2.12%"
"Apr 21","1,347.61","1,319.17","1,373.92","1,314.75","-","2.37%"
"Mar 21","1,316.43","1,337.86","1,383.35","1,286.50","-","-1.70%"
"Feb 21","1,339.26","1,328.16","1,449.38","1,326.20","-","0.73%"
"Jan 21","1,329.57","1,291.53","1,414.33","1,289.75","-","2.97%"
"Dec 20","1,291.26","1,205.51","1,294.88","1,205.51","-","7.15%"
"Nov 20","1,205.07","1,102.82","1,233.20","1,102.44","-","9.21%"
"Oct 20","1,103.46","1,083.01","1,140.68","1,080.83","-","1.98%"
"Sep 20","1,082.00","1,102.18","1,124.37","1,053.02","-","-1.77%"
"Aug 20","1,101.50","1,077.94","1,129.02","1,073.93","-","2.09%"
"Jul 20","1,078.92","996.55","1,092.29","996.46","-","8.42%"
"Jun 20","995.10","933.37","1,021.18","933.35","-","6.96%"
"May 20","930.35","921.08","934.78","886.94","-","0.58%"
"Apr 20","924.94","847.81","932.12","821.76","-","9.00%"
"Mar 20","848.58","1,006.69","1,048.80","751.76","-","-15.61%"
"Feb 20","1,005.52","1,059.92","1,112.73","998.59","-","-5.35%"
"Jan 20","1,062.34","1,115.30","1,150.91","1,059.74","-","-4.69%"
"Dec 19","1,114.66","1,040.08","1,121.78","1,031.13","-","7.17%"
"Nov 19","1,040.05","1,040.59","1,075.62","1,038.67","-","-0.19%"
"Oct 19","1,041.98","1,000.99","1,048.27","986.43","-","4.09%"
"Sep 19","1,001.00","983.09","1,029.38","973.27","-","1.69%"
"Aug 19","984.33","1,033.60","1,033.60","956.59","-","-5.08%"
"Jul 19","1,037.01","1,055.71","1,066.46","1,031.22","-","-1.69%"
"Jun 19","1,054.86","997.65","1,056.87","996.98","-","5.70%"
"May 19","998.00","1,080.89","1,084.52","982.35","-","-7.53%"
"Apr 19","1,079.24","1,057.97","1,099.18","1,057.97","-","2.00%"
"Mar 19","1,058.13","1,050.59","1,075.35","1,027.54","-","0.68%"
"Feb 19","1,050.95","1,050.20","1,070.25","1,029.01","-","0.10%"
"Jan 19","1,049.93","966.88","1,052.04","945.51","-","8.73%"
"Dec 18","965.67","997.56","1,020.18","945.28","-","-2.92%"
"Nov 18","994.72","955.31","1,007.31","954.12","-","4.06%"
"Oct 18","955.92","1,047.44","1,048.93","929.90","-","-8.78%"
"Sep 18","1,047.91","1,055.70","1,055.70","998.67","-","-0.76%"
"Aug 18","1,055.96","1,087.62","1,090.73","1,014.20","-","-2.90%"
"Jul 18","1,087.46","1,068.59","1,096.26","1,045.67","-","1.68%"
"Jun 18","1,069.52","1,119.96","1,156.04","1,038.66","-","-4.57%"
"May 18","1,120.71","1,161.69","1,170.60","1,110.44","-","-3.75%"
"Apr 18","1,164.43","1,173.62","1,186.60","1,137.25","-","-0.55%"
"Mar 18","1,170.87","1,192.52","1,228.48","1,159.46","-","-2.03%"
"Feb 18","1,195.19","1,253.77","1,258.55","1,136.27","-","-4.73%"
"Jan 18","1,254.59","1,159.53","1,278.53","1,157.55","-","8.30%"
"Dec 17","1,158.45","1,120.48","1,160.06","1,098.10","-","3.36%"
"Nov 17","1,120.79","1,119.94","1,160.66","1,110.92","-","0.15%"
"Oct 17","1,119.08","1,082.30","1,132.45","1,081.28","-","3.45%"
"Sep 17","1,081.72","1,088.43","1,114.09","1,071.79","-","-0.55%"
"Aug 17","1,087.70","1,065.83","1,088.83","1,039.97","-","2.01%"
"Jul 17","1,066.23","1,011.02","1,072.50","1,001.69","-","5.48%"
"Jun 17","1,010.80","1,006.36","1,023.17","1,000.05","-","0.54%"
"May 17","1,005.33","978.77","1,018.50","972.95","-","2.80%"
"Apr 17","977.96","960.40","986.26","950.99","-","2.04%"
"Mar 17","958.37","934.50","979.75","920.59","-","2.35%"
"Feb 17","936.37","911.05","956.64","909.10","-","2.98%"
"Jan 17","909.23","860.73","918.90","858.02","-","5.45%"
"Dec 16","862.27","860.96","879.69","840.27","-","-0.06%"
"Nov 16","862.83","904.25","908.71","837.12","-","-4.67%"
"Oct 16","905.09","904.01","920.24","888.20","-","0.18%"
"Sep 16","903.46","893.10","929.99","882.04","-","1.09%"
"Aug 16","893.68","874.56","919.43","865.38","-","2.31%"
"Jul 16","873.47","833.54","877.02","817.24","-","4.72%"
"Jun 16","834.10","807.41","844.50","792.31","-","3.30%"
"May 16","807.45","839.24","839.50","780.68","-","-3.90%"
"Apr 16","840.19","835.49","855.78","804.11","-","0.41%"
"Mar 16","836.80","738.96","838.53","738.96","-","13.03%"
"Feb 16","740.33","742.38","751.64","707.54","-","-0.27%"
"Jan 16","742.37","794.02","794.34","686.74","-","-6.52%"
"Dec 15","794.14","815.11","826.94","765.93","-","-2.48%"
"Nov 15","814.30","848.37","872.78","811.17","-","-3.96%"
"Oct 15","847.84","792.51","870.86","792.25","-","7.04%"
"Sep 15","792.05","819.12","833.59","769.72","-","-3.26%"
"Aug 15","818.73","900.07","900.07","762.71","-","-9.20%"
"Jul 15","901.68","971.74","976.00","888.00","-","-7.26%"
"Jun 15","972.25","1,003.26","1,006.64","956.96","-","-3.18%"
"May 15","1,004.22","1,047.28","1,049.20","1,003.38","-","-4.16%"
"Apr 15","1,047.78","974.58","1,069.13","972.85","-","7.51%"
"Mar 15","974.57","990.86","993.22","936.40","-","-1.59%"
"Feb 15","990.28","959.90","997.74","957.61","-","2.98%"
"Jan 15","961.61","956.67","994.06","929.27","-","0.55%"
"Dec 14","956.31","1,001.43","1,001.43","906.25","-","-4.82%"
"Nov 14","1,004.72","1,014.15","1,017.61","983.61","-","-1.12%"
"Oct 14","1,016.07","1,004.73","1,016.28","965.93","-","1.07%"
"Sep 14","1,005.33","1,088.30","1,104.31","1,002.51","-","-7.59%"
"Aug 14","1,087.88","1,063.58","1,097.86","1,041.98","-","2.07%"
"Jul 14","1,065.77","1,049.82","1,084.59","1,049.13","-","1.43%"
"Jun 14","1,050.78","1,027.40","1,058.24","1,026.79","-","2.25%"
"May 14","1,027.69","996.13","1,043.54","995.68","-","3.26%"
"Apr 14","995.28","993.35","1,023.12","991.28","-","0.06%"
"Mar 14","994.65","965.79","994.65","932.21","-","2.92%"
"Feb 14","966.42","934.74","967.83","913.65","-","3.19%"
"Jan 14","936.53","1,002.96","1,004.05","929.17","-","-6.60%"
"Dec 13","1,002.69","1,018.00","1,021.06","985.54","-","-1.53%"
"Nov 13","1,018.28","1,033.16","1,033.55","977.02","-","-1.56%"
"Oct 13","1,034.42","987.61","1,047.73","987.60","-","4.76%"
"Sep 13","987.46","929.52","1,027.52","928.89","-","6.23%"
"Aug 13","929.54","949.85","969.29","905.48","-","-1.90%"
"Jul 13","947.55","938.43","972.27","904.82","-","0.77%"
"Jun 13","940.33","1,007.47","1,008.67","877.73","-","-6.79%"
"May 13","1,008.88","1,039.05","1,064.68","1,004.18","-","-2.94%"
"Apr 13","1,039.45","1,034.97","1,039.71","994.70","-","0.44%"
"Mar 13","1,034.90","1,053.89","1,066.81","1,014.75","-","-1.87%"
"Feb 13","1,054.62","1,069.17","1,078.17","1,039.80","-","-1.35%"
"Jan 13","1,069.01","1,057.30","1,083.43","1,055.76","-","1.31%"
"Dec 12","1,055.20","1,005.83","1,056.99","1,001.99","-","4.78%"
"Nov 12","1,007.02","994.55","1,014.06","967.82","-","1.17%"
"Oct 12","995.33","1,001.45","1,016.41","987.36","-","-0.73%"
"Sep 12","1,002.66","947.79","1,018.15","936.36","-","5.84%"
"Aug 12","947.33","950.26","981.10","938.05","-","-0.54%"
"Jul 12","952.49","941.15","959.81","901.38","-","1.62%"
"Jun 12","937.35","906.42","949.40","877.44","-","3.43%"
"May 12","906.30","1,025.33","1,034.06","893.66","-","-11.67%"
"Apr 12","1,026.02","1,042.72","1,057.84","1,005.16","-","-1.48%"
"Mar 12","1,041.45","1,078.53","1,081.48","1,027.93","-","-3.52%"
"Feb 12","1,079.44","1,018.01","1,085.17","1,014.52","-","5.89%"
"Jan 12","1,019.39","916.49","1,022.46","912.71","-","11.24%"
"Dec 11","916.39","933.34","968.02","886.70","-","-1.29%"
"Nov 11","928.32","989.59","1,001.01","873.94","-","-6.70%"
"Oct 11","995.00","875.82","1,014.94","824.39","-","13.01%"
"Sep 11","880.43","1,034.27","1,045.63","838.87","-","-14.78%"
"Aug 11","1,033.15","1,141.10","1,154.54","946.42","-","-9.19%"
"Jul 11","1,137.73","1,148.19","1,173.71","1,117.51","-","-0.74%"
"Jun 11","1,146.22","1,169.78","1,172.51","1,095.24","-","-1.86%"
"May 11","1,167.97","1,204.63","1,208.68","1,111.22","-","-2.99%"
"Apr 11","1,204.03","1,170.41","1,211.98","1,155.17","-","2.83%"
"Mar 11","1,170.87","1,108.38","1,171.16","1,082.43","-","5.70%"
"Feb 11","1,107.77","1,121.07","1,139.92","1,077.64","-","-1.01%"
"Jan 11","1,119.08","1,153.55","1,169.46","1,114.81","-","-2.81%"
"Dec 10","1,151.38","1,077.19","1,153.55","1,076.63","-","7.02%"
"Nov 10","1,075.85","1,106.02","1,159.98","1,072.88","-","-2.70%"
"Oct 10","1,105.75","1,076.58","1,131.09","1,076.39","-","2.81%"
"Sep 10","1,075.53","970.08","1,077.13","970.08","-","10.87%"
"Aug 10","970.05","993.27","1,018.02","959.55","-","-2.15%"
"Jul 10","991.41","916.62","997.29","905.15","-","8.00%"
"Jun 10","917.99","925.43","981.68","887.01","-","-0.91%"
"May 10","926.40","1,018.38","1,018.81","850.20","-","-9.18%"
"Apr 10","1,020.03","1,011.65","1,051.49","1,000.74","-","0.96%"
"Mar 10","1,010.33","937.45","1,012.13","936.67","-","7.95%"
"Feb 10","935.93","932.68","957.92","890.04","-","0.25%"
"Jan 10","933.59","989.47","1,031.61","925.77","-","-5.65%"
"Dec 09","989.47","952.15","991.66","945.01","-","3.81%"
"Nov 09","953.13","907.71","988.27","894.31","-","4.25%"
"Oct 09","914.26","917.32","983.70","894.22","-","0.02%"
"Sep 09","914.05","838.90","926.31","827.97","-","8.89%"
"Aug 09","839.46","847.53","870.47","812.90","-","-0.54%"
"Jul 09","844.02","761.34","847.35","717.56","-","10.87%"
"Jun 09","761.30","773.47","805.20","718.56","-","-1.53%"
"May 09","773.12","662.39","776.21","662.22","-","16.66%"
"Apr 09","662.73","570.60","667.43","568.66","-","16.27%"
"Mar 09","569.97","497.33","603.71","471.40","-","14.15%"
"Feb 09","499.30","528.80","567.36","496.11","-","-5.71%"
"Jan 09","529.53","566.11","615.68","501.88","-","-6.62%"
"Dec 08","567.04","525.82","591.70","493.98","-","7.60%"
"Nov 08","526.97","569.51","618.23","456.54","-","-7.63%"
"Oct 08","570.52","787.33","793.08","445.94","-","-27.50%"
"Sep 08","786.92","955.79","955.79","745.71","-","-17.71%"
"Aug 08","956.25","1,041.01","1,041.01","935.43","-","-8.22%"
"Jul 08","1,041.86","1,085.56","1,086.77","1,006.65","-","-4.16%"
"Jun 08","1,087.12","1,211.24","1,217.30","1,080.29","-","-10.16%"
"May 08","1,210.04","1,194.67","1,252.59","1,185.70","-","1.55%"
"Apr 08","1,191.53","1,103.86","1,201.57","1,097.69","-","7.87%"
"Mar 08","1,104.58","1,165.11","1,165.11","1,039.21","-","-5.40%"
"Feb 08","1,167.66","1,090.05","1,195.97","1,074.08","-","7.25%"
"Jan 08","1,088.72","1,245.58","1,246.36","1,011.42","-","-12.59%"
"Dec 07","1,245.59","1,239.77","1,289.22","1,175.41","-","0.28%"
"Nov 07","1,242.06","1,341.86","1,345.18","1,179.31","-","-7.14%"
"Oct 07","1,337.63","1,206.88","1,342.10","1,206.30","-","11.02%"
"Sep 07","1,204.90","1,087.66","1,210.24","1,073.38","-","10.85%"
"Aug 07","1,086.98","1,109.65","1,109.65","934.57","-","-2.32%"
"Jul 07","1,112.77","1,060.10","1,169.18","1,059.57","-","5.01%"
"Jun 07","1,059.69","1,017.75","1,070.03","1,002.88","-","4.43%"
"May 07","1,014.78","970.50","1,021.40","969.13","-","4.62%"
"Apr 07","969.93","929.95","990.58","926.59","-","4.40%"
"Mar 07","929.03","893.61","931.49","841.96","-","3.74%"
"Feb 07","895.54","903.31","945.04","891.54","-","-0.66%"
"Jan 07","901.48","914.03","927.12","862.68","-","-1.22%"
"Dec 06","912.65","875.51","913.94","871.09","-","4.41%"
"Nov 06","874.09","815.99","875.04","815.51","-","7.33%"
"Oct 06","814.43","778.53","819.02","767.08","-","4.66%"
"Sep 06","778.17","773.16","791.49","753.44","-","0.65%"
"Aug 06","773.13","755.35","784.57","748.02","-","2.29%"
"Jul 06","755.84","748.18","763.06","707.56","-","1.11%"
"Jun 06","747.54","749.54","770.43","663.54","-","-0.46%"
"May 06","751.00","842.75","883.53","741.50","-","-10.76%"
"Apr 06","841.59","788.33","847.30","788.33","-","6.76%"
"Mar 06","788.28","781.89","793.45","745.79","-","0.79%"
"Feb 06","782.11","784.00","791.42","758.03","-","-0.21%"
"Jan 06","783.77","705.42","785.36","704.40","-","10.94%"
"Dec 05","706.48","667.45","709.57","666.70","-","5.76%"
"Nov 05","667.99","617.78","671.23","617.78","-","8.19%"
"Oct 05","617.41","660.42","666.95","601.27","-","-6.64%"
"Sep 05","661.32","608.91","661.32","608.91","-","9.09%"
"Aug 05","606.23","603.95","625.42","597.82","-","0.61%"
"Jul 05","602.56","565.68","603.72","560.80","-","6.62%"
"Jun 05","565.17","547.02","573.07","543.64","-","3.10%"
"May 05","548.15","533.04","553.88","532.43","-","3.04%"
"Apr 05","531.99","547.83","557.21","524.91","-","-2.86%"
"Mar 05","547.68","588.16","590.28","536.50","-","-6.96%"
"Feb 05","588.68","542.31","589.85","540.08","-","8.56%"
"Jan 05","542.28","541.85","544.06","517.39","-","0.02%"
"Dec 04","542.17","517.57","542.55","500.98","-","4.68%"
"Nov 04","517.95","475.00","518.29","474.01","-","9.21%"
"Oct 04","474.27","464.86","482.63","462.42","-","2.18%"
"Sep 04","464.15","440.27","467.71","440.04","-","5.55%"
"Aug 04","439.75","422.68","440.48","418.23","-","3.93%"
"Jul 04","423.14","433.37","434.08","416.39","-","-2.10%"
"Jun 04","432.20","431.55","436.56","409.63","-","0.22%"
"May 04","431.26","441.23","447.87","394.58","-","-2.28%"
"Apr 04","441.30","482.91","498.68","441.01","-","-7.38%"
"Mar 04","476.44","478.51","489.77","461.36","-","-0.27%"
"Feb 04","477.73","456.97","485.62","453.04","-","4.49%"